id;start_date;end_date;language
1;2021-07-14T11:19:37;2021-07-14T09:09:52;ENGLISH
2;2021-07-13T20:47:12;2021-07-14T06:12:41;FRENCH
3;2021-07-14T06:43:24;2021-07-13T18:48:32;SPANISH
4;2021-07-14T11:14:13;2021-07-13T16:40:32;FRENCH
5;2021-07-14T13:30:36;2021-07-13T21:49:34;ENGLISH
6;2021-07-13T23:01:19;2021-07-14T13:01:39;SPANISH
7;2021-07-14T07:05:07;2021-07-13T17:39:16;FRENCH
8;2021-07-13T21:31:00;2021-07-13T18:06:49;FRENCH
9;2021-07-13T22:22:38;2021-07-14T09:54:04;FRENCH
10;2021-07-13T18:19:36;2021-07-14T11:17:05;FRENCH
